caller	site	target
800128cc	80012960	80012a44
8001296c	800129b4	80100000
8001296c	800129b4	80140000
800129dc	80012a1c	80100000
800129dc	80012a1c	80140000
80012a44	80012a4c	8001296c
80012a44	80012a54	800753a8
80012a44	80012a5c	80073df8
80012a44	80012a64	800748d8
80012a44	80012a6c	80085448
80012a44	80012a74	80073e08
80012a44	80012a7c	800749cc
80012a44	80012a84	80073d98
80012a44	80012a8c	8007fbcc
80012a44	80012a94	80015c28
80012a44	80012aec	80013058
80012a44	80012af4	80040714
80012a44	80012afc	800150cc
80012a44	80012b04	800133d0
80012a44	80012b0c	80035f58
80012a44	80012b14	80035f64
80012a44	80012b1c	8003b990
80012a44	80012b2c	80046c24
80012a44	80012b38	80074968
80012a44	80012b40	800401a4
80012a44	80012b4c	8008f738
80012a44	80012b54	8007fbcc
80012a44	80012b5c	8002cf60
80012a44	80012b64	8002cf60
80012a44	80012b6c	80043e3c
80012a44	80012b78	80090d58
80012a44	80012b80	8002cf60
80012a44	80012b90	8006b560
80012a44	80012b98	80013700
80012a44	80012ba0	80044084
80012a44	80012ba8	8002d62c
80012a44	80012bbc	8002df60
80012c50	80012c58	80012f70
80012c50	80012c60	80012cb8
80012c50	80012c68	80012d60
80012c50	80012c70	8003cea4
80012c88	80012c98	80012c50
80012cb8	80012ccc	8007fc64
80012cb8	80012d40	800746b8
80012d60	80012db8	80085488
80012d60	80012dd4	80080494
80012d60	80012ddc	8007f8e8
80012d60	80012dfc	80035eb0
80012d60	80012e3c	80085d98
80012d60	80012e68	80085d98
80012d60	80012e7c	80085d98
80012d60	80012e88	80085d08
80012d60	80012e90	800852a8
80012d60	80012f08	80086248
80012d60	80012f44	80085d38
80012f70	80012f7c	80015400
80012f70	80012f84	80041674
80012f70	80012fa4	unresolved
80012f70	80012fcc	unresolved
80012f70	80013034	80014978
80012f70	8001303c	800135f0
80013058	80013078	8007f8e8
80013058	80013090	80084d58
80013058	800130a4	80085628
80013058	80013188	80085d38
80013058	80013218	80086d50
80013058	80013220	800856c8
80013058	8001322c	80085538
80013058	80013234	80087858
80013058	8001323c	8008b738
80013058	80013244	8003cde4
80013058	8001324c	80013600
80013058	80013254	8008f738
800133fc	80013430	8008acd8
80013448	80013470	800866f8
80013448	80013490	80086628
80013448	800134b0	80086628
80013448	800134d0	800866f8
80013448	800134f4	800133fc
80013518	80013540	800866f8
80013518	80013560	80086628
80013518	80013584	80086628
80013518	800135a8	800866f8
80013518	800135cc	800133fc
80013600	8001361c	800137b4
80013600	800136b0	80013810
80013600	800136d0	8008fa78
80013700	80013750	80014f54
80013700	80013758	80012c50
80013700	80013788	80012c50
800137b4	800137f0	8007b53c
80013810	8001382c	8007d988
80013810	8001383c	8007eca8
800138b4	800138f0	8001385c
800139b0	800139e0	8001385c
80013a84	80013aec	80014f2c
80013b44	80013be8	8007e968
80013b44	80013c60	8007e36c
80013b44	80013c68	8007edf8
80013b44	80013cb0	unresolved
80013b44	80013d14	8007e968
80013b44	80013d78	8007e36c
80013b44	80013d80	8007edf8
80013b44	80013da4	80082380
80013b44	80013e7c	8007e968
80013b44	80013ef0	8007e36c
80013b44	80013ef8	8007edf8
80013b44	80013f0c	80077748
80013b44	80013f18	800776e8
80013b44	80013f68	unresolved
