caller	site	target	edge_kind	confidence	evidence
800128cc	80012960	80012a44	direct_ghidra	confirmed_static	calls.tsv
8001296c	800129b4	80100000	direct_ghidra	confirmed_static	calls.tsv
8001296c	800129b4	80140000	direct_ghidra	confirmed_static	calls.tsv
800129dc	80012a1c	80100000	direct_ghidra	confirmed_static	calls.tsv
800129dc	80012a1c	80140000	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a4c	8001296c	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a54	800753a8	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a5c	80073df8	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a64	800748d8	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a6c	80085448	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a74	80073e08	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a7c	800749cc	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a84	80073d98	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a8c	8007fbcc	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012a94	80015c28	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012aec	80013058	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012af4	80040714	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012afc	800150cc	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b04	800133d0	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b0c	80035f58	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b14	80035f64	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b1c	8003b990	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b2c	80046c24	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b38	80074968	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b40	800401a4	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b4c	8008f738	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b54	8007fbcc	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b5c	8002cf60	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b64	8002cf60	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b6c	80043e3c	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b78	80090d58	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b80	8002cf60	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b90	8006b560	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012b98	80013700	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012ba0	80044084	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012ba8	8002d62c	direct_ghidra	confirmed_static	calls.tsv
80012a44	80012bbc	8002df60	direct_ghidra	confirmed_static	calls.tsv
80012c50	80012c58	80012f70	direct_ghidra	confirmed_static	calls.tsv
80012c50	80012c60	80012cb8	direct_ghidra	confirmed_static	calls.tsv
80012c50	80012c68	80012d60	direct_ghidra	confirmed_static	calls.tsv
80012c50	80012c70	8003cea4	direct_ghidra	confirmed_static	calls.tsv
80012c88	80012c98	80012c50	direct_ghidra	confirmed_static	calls.tsv
80012cb8	80012ccc	8007fc64	direct_ghidra	confirmed_static	calls.tsv
80012cb8	80012d40	800746b8	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012db8	80085488	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012dd4	80080494	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012ddc	8007f8e8	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012dfc	80035eb0	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012e3c	80085d98	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012e68	80085d98	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012e7c	80085d98	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012e88	80085d08	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012e90	800852a8	direct_ghidra	confirmed_static	calls.tsv
80012d60	80012f08	80086248	direct_ghidra	confirmed_static	calls.tsv
