address	name	body_bytes	status	origin	region
800128cc	seed_800128cc	160	ok	resident_export	resident
8001296c	FUN_8001296c	112	ok	resident_export	resident
800129dc	FUN_800129dc	104	ok	resident_export	resident
80012a44	seed_80012a44	404	ok	resident_export	resident
80012c50	FUN_80012c50	56	ok	resident_export	resident
80012c88	FUN_80012c88	48	ok	resident_export	resident
80012cb8	FUN_80012cb8	168	ok	resident_export	resident
80012d60	FUN_80012d60	528	ok	resident_export	resident
80012f70	FUN_80012f70	232	ok	resident_export	resident
80013058	FUN_80013058	548	ok	resident_export	resident
800133d0	FUN_800133d0	44	ok	resident_export	resident
800133fc	FUN_800133fc	76	ok	resident_export	resident
80013448	FUN_80013448	208	ok	resident_export	resident
80013518	FUN_80013518	216	ok	resident_export	resident
800135f0	FUN_800135f0	16	ok	resident_export	resident
80013600	FUN_80013600	256	ok	resident_export	resident
80013700	FUN_80013700	180	ok	resident_export	resident
800137b4	FUN_800137b4	92	ok	resident_export	resident
80013810	FUN_80013810	76	ok	resident_export	resident
8001385c	FUN_8001385c	88	ok	resident_export	resident
800138b4	FUN_800138b4	252	ok	resident_export	resident
800139b0	FUN_800139b0	112	ok	resident_export	resident
80013a84	FUN_80013a84	192	ok	resident_export	resident
80013b44	FUN_80013b44	1144	ok	resident_export	resident
80013fbc	FUN_80013fbc	148	ok	resident_export	resident
80014050	FUN_80014050	116	ok	resident_export	resident
800140c4	FUN_800140c4	120	ok	resident_export	resident
8001413c	FUN_8001413c	116	ok	resident_export	resident
800141b0	FUN_800141b0	116	ok	resident_export	resident
80014224	FUN_80014224	136	ok	resident_export	resident
800142ac	FUN_800142ac	76	ok	resident_export	resident
800142f8	FUN_800142f8	220	ok	resident_export	resident
800143d4	FUN_800143d4	164	ok	resident_export	resident
80014478	FUN_80014478	1280	ok	resident_export	resident
80014978	FUN_80014978	212	ok	resident_export	resident
80014a4c	FUN_80014a4c	272	ok	resident_export	resident
80014b5c	FUN_80014b5c	476	ok	resident_export	resident
80014d38	FUN_80014d38	208	ok	resident_export	resident
80014e08	FUN_80014e08	184	ok	resident_export	resident
80014ec0	FUN_80014ec0	108	ok	resident_export	resident
80014f2c	FUN_80014f2c	40	ok	resident_export	resident
80014f54	FUN_80014f54	64	ok	resident_export	resident
80014f94	FUN_80014f94	196	ok	resident_export	resident
80015058	FUN_80015058	116	ok	resident_export	resident
800150cc	FUN_800150cc	40	ok	resident_export	resident
800150f4	FUN_800150f4	312	ok	resident_export	resident
8001522c	FUN_8001522c	468	ok	resident_export	resident
80015400	FUN_80015400	468	ok	resident_export	resident
800155d4	FUN_800155d4	36	ok	resident_export	resident
800155f8	FUN_800155f8	80	ok	resident_export	resident
80015648	FUN_80015648	84	ok	resident_export	resident
8001569c	FUN_8001569c	92	ok	resident_export	resident
800156f8	FUN_800156f8	64	ok	resident_export	resident
80015738	FUN_80015738	84	ok	resident_export	resident
8001578c	FUN_8001578c	72	ok	resident_export	resident
800157d4	FUN_800157d4	76	ok	resident_export	resident
80015820	FUN_80015820	64	ok	resident_export	resident
80015860	FUN_80015860	84	ok	resident_export	resident
800158b4	FUN_800158b4	64	ok	resident_export	resident
800158f4	FUN_800158f4	40	ok	resident_export	resident
8001591c	FUN_8001591c	40	ok	resident_export	resident
