global	function	access
DAT_00000108	8008f368	read
DAT_0000DF80	8008b678	read
DAT_0000DFFC	8008b574	read_write
DAT_1F800000	800166a0	read_write
DAT_1F800000	8001b100	write
DAT_1F800000	8003d500	write
DAT_1F800000	800424b8	write
DAT_1F800000	80042f38	read_write
DAT_1F800003	80029acc	write
DAT_1F800004	800166a0	write
DAT_1F800004	8001b100	write
DAT_1F800004	80029acc	write
DAT_1F800004	80036298	read_write
DAT_1F800004	8003d500	read_write
DAT_1F800004	800424b8	write
DAT_1F800004	80042f38	read_write
DAT_1F800005	80036298	write
DAT_1F800006	800166a0	write
DAT_1F800006	80036298	write
DAT_1F800006	8003d500	write
DAT_1F800008	800166a0	write
DAT_1F800008	8001b100	write
DAT_1F800008	80029acc	read_write
DAT_1F800008	80036298	read_write
DAT_1F800008	8003d500	write
DAT_1F800008	800424b8	write
DAT_1F800008	80042f38	read_write
DAT_1F80000A	80029acc	read_write
DAT_1F80000A	80036298	write
DAT_1F80000C	800166a0	write
DAT_1F80000C	8001b100	write
DAT_1F80000C	80029acc	read_write
DAT_1F80000C	80036298	read_write
DAT_1F80000C	8003d500	write
DAT_1F80000D	80036298	read_write
DAT_1F80000E	800166a0	write
DAT_1F80000E	80036298	write
DAT_1F80000E	8003d500	write
DAT_1F80000F	800166a0	write
DAT_1F80000F	80029acc	read
DAT_1F80000F	8003d500	read
DAT_1F800010	800166a0	write
DAT_1F800010	8001b100	write
DAT_1F800010	80029acc	write
DAT_1F800010	80036298	read_write
DAT_1F800010	8003d500	write
DAT_1F800010	80042f38	read_write
DAT_1F800011	80036298	write
DAT_1F800012	800166a0	write
DAT_1F800012	8001b100	read
DAT_1F800012	80029acc	read_write
DAT_1F800012	80036298	write
DAT_1F800012	8003d500	write
DAT_1F800014	800166a0	write
DAT_1F800014	8001b100	write
DAT_1F800014	80029acc	write
DAT_1F800014	80036298	read_write
DAT_1F800014	8003d500	write
DAT_1F800014	80042f38	read_write
DAT_1F800016	8001b100	read
DAT_1F800016	80036298	write
DAT_1F800018	8001b100	write
DAT_1F800018	80029acc	read_write
DAT_1F800018	80036298	write
DAT_1F800019	80036298	write
DAT_1F80001A	80029acc	read
DAT_1F80001A	80036298	write
DAT_1F80001C	80029acc	write
DAT_1F80001C	80036298	read_write
DAT_1F80001D	80036298	write
DAT_1F80001E	80036298	write
DAT_1F800020	80031b58	read_write
DAT_1F800020	80036298	write
DAT_1F800020	80042f38	read
DAT_1F800022	80036298	read_write
DAT_1F800024	80031b58	read_write
DAT_1F800024	80036298	write
DAT_1F800025	80036298	write
DAT_1F800026	80031b58	read_write
DAT_1F800028	80031b58	write
DAT_1F800028	80036298	read_write
DAT_1F800028	80042f38	read_write
DAT_1F800029	80036298	write
DAT_1F80002A	80031b58	read
DAT_1F80002A	80036298	write
DAT_1F80002C	80031b58	write
DAT_1F80002C	80036298	write
DAT_1F80002E	80031b58	write
DAT_1F80002E	80036298	write
DAT_1F800030	80031b58	write
DAT_1F800030	80036298	read_write
DAT_1F800030	80042f38	read_write
DAT_1F800031	80036298	read_write
DAT_1F800032	80031b58	write
DAT_1F800034	80031b58	write
DAT_1F800038	80029acc	read_write
DAT_1F800038	80036298	read
DAT_1F800038	80042f38	read_write
DAT_1F80003A	80029acc	read
DAT_1F80003A	80042f38	read_write
DAT_1F80003B	80036298	write
DAT_1F80003C	80029acc	read_write
DAT_1F80003C	80036298	write
DAT_1F800040	80029acc	read_write
DAT_1F800040	80036298	read
DAT_1F800040	80042f38	read_write
DAT_1F800042	80029acc	read
DAT_1F800042	80042f38	read_write
DAT_1F800044	80029acc	read_write
DAT_1F800044	80036298	read_write
DAT_1F800045	80036298	read_write
DAT_1F800046	80029acc	read
DAT_1F800046	80036298	write
DAT_1F800048	80029acc	read_write
DAT_1F800048	80036298	read
DAT_1F80004A	80029acc	write
DAT_1F80004C	80029acc	read_write
DAT_1F80004C	80036298	read_write
DAT_1F80004C	80042f38	write
DAT_1F80004D	80036298	write
DAT_1F80004E	80036298	read_write
DAT_1F800050	80029acc	write
DAT_1F800050	80036298	read
DAT_1F800052	80029acc	write
DAT_1F800054	80029acc	write
DAT_1F800054	80036298	write
DAT_1F800054	80042f38	write
DAT_1F800055	80036298	read_write
DAT_1F800058	80036298	read
DAT_1F80005C	80036298	write
DAT_1F80005C	80042f38	write
DAT_1F80005D	80036298	write
DAT_1F80005E	80042f38	write
DAT_1F800060	80029acc	read
DAT_1F800060	80031b58	read_write
DAT_1F800060	80036298	read_write
DAT_1F800062	80036298	write
DAT_1F800064	80031b58	read_write
DAT_1F800064	80036298	write
DAT_1F800064	80042f38	write
DAT_1F800066	80031b58	read_write
DAT_1F800066	80042f38	write
DAT_1F800068	80029acc	read_write
DAT_1F800068	80031b58	write
DAT_1F800068	80036298	read_write
DAT_1F80006A	80036298	read_write
DAT_1F80006C	80029acc	read_write
DAT_1F80006C	80031b58	write
DAT_1F80006C	80036298	write
DAT_1F80006F	80031b58	write
DAT_1F800070	80031b58	read_write
DAT_1F800070	80036298	read_write
DAT_1F800070	80042f38	write
DAT_1F800072	80036298	write
DAT_1F800074	80031b58	write
DAT_1F800074	80036298	write
DAT_1F800078	80036298	read_write
DAT_1F800078	80042f38	write
DAT_1F80007A	80036298	write
DAT_1F80007C	80036298	write
DAT_1F800080	80036298	read_write
DAT_1F800080	80042f38	write
DAT_1F800082	80036298	write
DAT_1F800082	80042f38	read_write
DAT_1F800084	80036298	write
DAT_1F800088	80042f38	write
DAT_1F80008A	80042f38	read_write
DAT_1F80008C	80036298	write
DAT_1F800090	80036298	write
DAT_1F800094	80036298	write
DAT_1F800094	80042f38	read_write
DAT_1F80009C	80042f38	read_write
DAT_1F8000A0	80036298	read_write
DAT_1F8000A4	80036298	read
DAT_1F8000A4	80042f38	read_write
DAT_1F8000A6	80042f38	write
DAT_1F8000AC	80042f38	read_write
DAT_1F8000AE	80042f38	write
DAT_1F8000B8	80042f38	write
DAT_1F8000C0	80016418	read_write
DAT_1F8000C0	80036298	read_write
DAT_1F8000C0	80042f38	write
DAT_1F8000C8	80036298	write
DAT_1F8000C8	80042f38	write
DAT_1F8000CA	80042f38	write
DAT_1F8000CC	80036298	write
DAT_1F8000CE	80036298	write
DAT_1F8000CF	80036298	write
